Category,Date,Type,Name,Detail,URL
Log,2026-05-04T21:54:42.432Z,success,connection-tracker,■ connection-tracker DONE | +0 accepted | total: 0/0 (0%),
Log,2026-05-04T21:54:42.429Z,info,connection-tracker,📋 pending invitations on page: 0,
Log,2026-05-04T21:54:28.355Z,info,connection-tracker,▶ connection-tracker started | https://www.linkedin.com/mynetwork/invitation-manager/sent/,
Log,2026-05-04T21:54:24.448Z,info,,Step 5/6 — Tracking accepted connections…,
Log,2026-05-04T21:54:24.422Z,info,,■ relationship-builder done | 0 touched,
Log,2026-05-04T21:54:24.419Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/cathy-chow-07459458/ | 13 — new_job,
Log,2026-05-04T21:54:18.422Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/acacio-roberto-arruda-91659720/ | 3 — new_job,
Log,2026-05-04T21:54:12.427Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/kathleen-fernandes/ | 37 — new_job,
Log,2026-05-04T21:54:06.433Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/rodrigoarnaut/en/ | 36 — new_job,
Log,2026-05-04T21:53:59.428Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/lucasbalves/ | 38 — new_job,
Log,2026-05-04T21:53:52.421Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/dirceua/ | 8 — new_job,
Log,2026-05-04T21:53:47.431Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/jennifer-hamid-18906a6a/ | 13 — new_job,
Log,2026-05-04T21:53:41.423Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/lucasfcneto/ | 3 — new_job,
Log,2026-05-04T21:53:30.604Z,info,,▶ relationship-builder started | https://www.linkedin.com/mynetwork/catch-up/job_changes/,
Log,2026-05-04T21:53:26.432Z,info,,■ relationship-builder done | 0 touched,
Log,2026-05-04T21:53:26.430Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/matheus-julio-de-oliveira-24b10431/ | 8 — anniversary,
Log,2026-05-04T21:53:20.421Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/bruna-brand%C3%A3o-36a0189/ | 11 — anniversary,
Log,2026-05-04T21:53:14.422Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/jose-elisivaldo-moreira-junior/ | 16 — anniversary,
Log,2026-05-04T21:53:07.433Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/isaias-peixoto/en/ | 13 — anniversary,
Log,2026-05-04T21:53:02.431Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/mariana-palamone-270a1747/ | 2 — anniversary,
Log,2026-05-04T21:52:56.420Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/jmcbruno/en/ | 1 — anniversary,
Log,2026-05-04T21:52:50.423Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/ziv-catriel-21664b19/ | 1 — anniversary,
Log,2026-05-04T21:52:44.428Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/josecorreadev/ | 2 — anniversary,
Log,2026-05-04T21:52:39.427Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/felipeveronesi/ | 5 — anniversary,
Log,2026-05-04T21:52:29.714Z,info,,▶ relationship-builder started | https://www.linkedin.com/mynetwork/catch-up/work_anniversaries/,
Log,2026-05-04T21:52:25.422Z,info,,■ relationship-builder done | 0 touched,
Log,2026-05-04T21:52:25.421Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/flaviodearaujosilva/ | there — birthday,
Log,2026-05-04T21:52:20.421Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/ricardo-santos-38b608/ | there — birthday,
Log,2026-05-04T21:52:14.423Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/simone-villani-brito-7b36265/ | there — birthday,
Log,2026-05-04T21:52:09.418Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/priscilla-compart-852bb492/ | there — birthday,
Log,2026-05-04T21:52:07.705Z,warn,,[post-engager] content script did not respond after 15 retries — skipping,
Log,2026-05-04T21:52:03.425Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/rodrigo-ragazzi/ | there — birthday,
Log,2026-05-04T21:51:57.429Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/adriano-peres-94906018a/ | there — birthday,
Log,2026-05-04T21:51:54.431Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/wesleydrosa/ | there — birthday,
